名称,分类
耳,草部
地葵,草部
羊负来,草部
道人头,草部
进贤菜,草部
喝起草,草部
野茄,草部
缣丝草,草部
无名精,草部
天蔓菁,草部
天门精,草部
地菘,草部
玉门精,草部
麦句姜,草部
蟾蜍兰,草部
蛤蟆蓝,草部
蚵草,草部
豕首,草部
彘颅,草部
活鹿草,草部
刘草,草部
皱面草,草部
母猪芥,草部
果实名鹤虱,草部
根名杜牛膝,草部
希莶,草部
希仙,草部
火锨草,草部
猪膏母,草部
虎膏,草部
狗膏,草部
粘糊菜,草部
箬,草部
箬,草部
音若,草部
辽叶,草部
芦,草部
苇,草部
葭,草部
花名蓬,草部
笋名（音拳）,草部
甘蕉,草部
芭蕉,草部
夭苴,草部
芭苴,草部
蓑荷,草部
覆菹,草部
草,草部
苴,草部
苴,草部
嘉草,草部
灯心草,草部
虎须草,草部
碧玉草,草部
木贼,草部
麻黄,草部
龙沙,草部
卑相,草部
卑盐,草部
地黄,草部
名（音户）,草部
芑（音起）,草部
地髓,草部
牛膝,草部
牛茎,草部
百倍,草部
山苋菜,草部
对节菜,草部
紫菀,草部
青菀,草部
紫茜,草部
返魂草,草部
夜牵牛,草部
麦门冬,草部
冬,草部
禹韭,草部
禹余粮,草部
忍冬,草部
忍凌,草部
不死草,草部
阶前草,草部
萱草,草部
忘居,草部
疗愁,草部
丹棘,草部
鹿葱,草部
鹿剑,草部
宜男,草部
淡竹叶,草部
根名碎骨子,草部
鸭跖草,草部
芩鸡舌草,草部
碧竹草,草部
竹鸡草,草部
竹叶菜,草部
淡竹叶,草部
耳环草,草部
碧蝉花,草部
蓝姑草,草部
葵【,草部
露葵,草部
滑菜,草部
蜀葵,草部
戎葵,草部
吴葵,草部
龙葵,草部
苦葵,草部
苦菜,草部
天茄子,草部
水茄,草部
天泡草,草部
老鸦酸浆草,草部
老鸦眼睛草,草部
酸浆,草部
醋浆,草部
革针,草部
苦耽,草部
灯笼草,草部
虎弁草,草部
天泡草,草部
王母珠,草部
洛神珠,草部
蜀羊泉,草部
羊泉,草部
羊饴,草部
漆姑草,草部
败酱,草部
苦菜,草部
泽败,草部
鹿肠,草部
鹿首,草部
马草,草部
款冬花,草部
款冻,草部
颗冻,草部
氏冬,草部
钻冻,草部
菟奚,草部
虎须,草部
鼠曲草,草部
米曲,草部
鼠耳,草部
佛耳草,草部
无心草,草部
香茅,草部
黄蒿,草部
茸母,草部
决明,草部
马蹄决明,草部
地肤,草部
地葵,草部
地麦,草部
落帚,草部
独帚,草部
王帚,草部
扫帚,草部
益明,草部
涎衣草,草部
白地草,草部
鸭舌草,草部
瞿麦,草部
锯句麦,草部
大菊,草部
大半,草部
